20200725 baseline RetinaNet + ResNet-18
voc batch_size = 10
kitti batch_size = 24


kitti mAP:
aeroplane: 0.3707732867103136
bicycle: 0.29308429503646377
bird: 0.11891488772803425
boat: 0.09481537151321731
bottle: 0.016505411223949287
bus: 0.40450849256174115
car: 0.19220898107642426
cat: 0.42851185390973756
chair: 0.020868999151315046
cow: 0.143676632339011
diningtable: 0.11684364014864071
dog: 0.3350408761465532
horse: 0.17163069683009696
motorbike: 0.297188934061305
person: 0.1528960267779613
pottedplant: 0.03428437358571402
sheep: 0.09046783259337488
sofa: 0.15303027895047927
train: 0.38116359461267313
tvmonitor: 0.11985034117582011

voc mAP:
car: 0.019419196199784154
van: 0.007879162549351363
truck: 0.010386534295088201
pedestrian: 0.0017071543403875454
person_sitting: 0.0010683760683760685
cyclist: 5.0747136466890096e-05
tram: 0.024090074162960464
misc: 0.0041925628222735795


